Response,Error,original_title,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
True,,Servant of the People,Servant of the People,2015–2019,TV-MA,16 May 2022,1 min,Comedy,N/A,N/A,"Volodymyr Zelenskyy, Stanislav Boklan, Viktor Saraykin","After a Ukrainian high-school teacher's tirade against government corruption goes viral on social media, he finds himself elected the country's new president.","Russian, Ukrainian",Ukraine,2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYjRiYzM3ZDEtMTExNC00YWQwLTg5N2MtZDE3NmM4NDk0ZThmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"4,751",tt6235122,series,,,,,2
True,,Zoo,Zoo,2015–2017,TV-14,30 Jun 2015,42 min,"Action, Adventure, Crime",N/A,"Josh Appelbaum, André Nemec, Jeff Pinkner","James Wolk, Kristen Connolly, Nonso Anozie",A team comes together and searches to find out what's causing a rash of violent animal attacks.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjgwNDU4ZTAtYjA1OS00MzFkLWJkOTYtMzJiYzg5ZTA2NDg1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"26,664",tt3250026,series,,,,,3
True,,Crashing,Crashing,2016,TV-MA,01 Sep 2016,41S min,Comedy,N/A,Phoebe Waller-Bridge,"Phoebe Waller-Bridge, Jonathan Bailey, Julie Dray","A comedy series following the lives of six 20- and 30-somethings living together as property guardians of a large, disused hospital.",English,United Kingdom,Nominated for 1 BAFTA Award2 nominations total,https://m.media-amazon.com/images/M/MV5BOTQ0MDFjNWYtMThlNy00Yzk5LWI1MmMtZTdmZjY1MDRiZTZjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"27,950",tt5295524,series,,,,,1
True,,Steve Jobs,Steve Jobs,2015,R,23 Oct 2015,122 min,"Biography, Drama",Danny Boyle,"Aaron Sorkin, Walter Isaacson","Michael Fassbender, Kate Winslet, Seth Rogen","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.","English, Ukrainian","United Kingdom, Japan, United States",Nominated for 2 Oscars. 28 wins & 117 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0NTA2MTEwOV5BMl5BanBnXkFtZTgwNzg4NzU2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.2,"184,236",tt2080374,movie,N/A,"$17,766,658",N/A,N/A,
True,,The Conjuring 2,The Conjuring 2,2016,R,10 Jun 2016,134 min,"Horror, Mystery, Thriller",James Wan,"Chad Hayes, Carey W. Hayes, James Wan","Vera Farmiga, Patrick Wilson, Madison Wolfe",Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,English,"Canada, United States, United Kingdom",4 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BOTRkMDlmZWEtMzQyYy00YzgyLTgwM2QtNzgxYmIwNGVlYmJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.3,"326,018",tt3065204,movie,N/A,"$102,516,140",N/A,N/A,
True,,The Disastrous Life of Saiki K.,The Disastrous Life of Saiki K.,2016–2018,TV-14,07 Aug 2016,24 min,"Animation, Comedy, Fantasy",N/A,Shûichi Asô,"Hiroshi Kamiya, Daisuke Ono, Nobunaga Shimazaki","Saiki Kusuo is a powerful psychic who hates attracting attention, yet he is surrounded by colorful characters who always find a way to remove him from his everyday life.","Japanese, English, Cantonese",Japan,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMzJhYWEyMWUtZDYwNS00NTU4LTgwODItYjBlNzEwMTc5MTc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"13,947",tt6354518,series,,,,,3
True,,Home,Home,2015,PG,27 Mar 2015,94 min,"Animation, Adventure, Comedy",Tim Johnson,"Tom J. Astle, Matt Ember, Adam Rex","Jim Parsons, Rihanna, Steve Martin","Oh, a lovable misfit alien, runs away from his planet and takes shelter on Earth, where he befriends Tip, an adventurous young girl who is on a quest to find her displaced mother Lucy.","English, French","United States, India",3 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMjExOTQ4MDMyMV5BMl5BanBnXkFtZTgwMTE3NDM2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.5,"117,238",tt2224026,movie,N/A,"$177,397,510",N/A,N/A,
True,,Chappie,Chappie,2015,R,06 Mar 2015,120 min,"Action, Crime, Drama",Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Dev Patel, Hugh Jackman","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",English,"United States, South Africa, Mexico",3 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyNTI4NTIwNl5BMl5BanBnXkFtZTgwMjQ4MTI0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.8,"279,076",tt1823672,movie,N/A,"$31,569,268",N/A,N/A,
True,,Gantz:O,Gantz: O,2016,N/A,04 Apr 2017,95 min,"Animation, Action, Drama","Yasushi Kawamura, Kei'ichi Sato","Hiroya Oku, Tsutomu Kuroiwa","Daisuke Ono, Mao Ichimichi, Tomohiro Kaku","After being brutally murdered in a subway station, a teen boy awakens to find himself resurrected by a strange computer named Gantz, and forced to fight a large force of invading aliens in Osaka.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BODEyYTI4MzItZjc3ZS00NzYzLWI3YWMtNmRjYWExYWIzZjQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"17,076",tt5923962,movie,N/A,N/A,N/A,N/A,
True,,BUNK'D,Bunk'd,2015–2024,TV-G,31 Jul 2015,17S min,"Comedy, Drama, Family",N/A,Pamela Eells,"Miranda May, Mallory James Mahoney, Israel Johnson","Emma, Ravi, and Zuri Ross head off to the rustic summer camp in Maine where their parents met as teens. With their new friends, a love triangle, and the fears of the camp, they settle into their exciting, challenging new lives.",English,United States,4 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BYWEwZWZmMGItYjAzZi00ODFiLTk1YWQtNTVkMDNmYWY5MDg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"4,642",tt4591680,series,,,,,7
True,,In a Valley of Violence,In a Valley of Violence,2016,R,21 Oct 2016,104 min,"Action, Western",Ti West,Ti West,"Ethan Hawke, John Travolta, Taissa Farmiga",A mysterious stranger and a random act of violence drag a town of misfits and nitwits into the bloody crosshairs of revenge.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTUxMjExOTA2OF5BMl5BanBnXkFtZTgwMzI3NTgxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.1,"21,600",tt3608930,movie,N/A,"$61,797",N/A,N/A,
True,,A Monster Calls,A Monster Calls,2016,PG-13,06 Jan 2017,108 min,"Adventure, Drama, Family",J.A. Bayona,"Patrick Ness, Siobhan Dowd","Lewis MacDougall, Sigourney Weaver, Felicity Jones","Conor, a twelve-year-old boy, encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.",English,"United States, Spain, United Kingdom",39 wins & 57 nominations total,https://m.media-amazon.com/images/M/MV5BMTg1OTA5OTkyNV5BMl5BanBnXkFtZTgwODMwNDU5OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.4,"97,272",tt3416532,movie,N/A,"$3,740,823",N/A,N/A,
True,,Van Helsing,Van Helsing,2004,PG-13,07 May 2004,131 min,"Action, Adventure, Fantasy",Stephen Sommers,Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh","The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.","English, Latin, French","Czech Republic, United States",3 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BNDk3NTdlYzQtMjhiMy00MWJkLWFjNDctMzE4ZGEwZWExNGViXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.1,"299,739",tt0338526,movie,N/A,"$120,177,084",N/A,N/A,
True,,Quantico,Quantico,2015–2018,TV-14,27 Sep 2015,3 min,"Crime, Drama, Mystery",N/A,Joshua Safran,"Priyanka Chopra Jonas, Jake McLaughlin, Johanna Braddy",A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist.,English,United States,2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxNTg3MTc0Ml5BMl5BanBnXkFtZTgwMzYxNDIyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"65,193",tt4428122,series,,,,,3
True,,Loving,Loving,2016,PG-13,04 Nov 2016,123 min,"Biography, Drama, Romance",Jeff Nichols,"Jeff Nichols, Nancy Buirski","Ruth Negga, Joel Edgerton, Will Dalton","The story of Richard and Mildred Loving, a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision.",English,"United Kingdom, United States",Nominated for 1 Oscar. 25 wins & 91 nominations total,https://m.media-amazon.com/images/M/MV5BMjE4NTI3NjIzOF5BMl5BanBnXkFtZTgwNjI0NTI5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.0,"38,117",tt4669986,movie,N/A,"$7,751,969",N/A,N/A,
True,,ERASED,Erased,2016,TV-14,08 Jan 2016,264 min,"Animation, Crime, Drama",N/A,N/A,"Shinnosuke Mitsushima, Tao Tsuchiya, Minami Takayama","29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade.","Japanese, English",Japan,9 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BZWQ2YmI5NWMtZTY2Mi00MGUxLWFhMmEtYjVjZjMwOTNkOThjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"67,795",tt5249462,series,,,,,1
True,,The Danish Girl,The Danish Girl,2015,R,22 Jan 2016,119 min,"Biography, Drama",Tom Hooper,"Lucinda Coxon, David Ebershoff","Eddie Redmayne, Alicia Vikander, Amber Heard",A love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,"English, French, German, Ukrainian","United Kingdom, United States, Germany, Denmark, Belgium, Japan",Won 1 Oscar. 32 wins & 82 nominations total,https://m.media-amazon.com/images/M/MV5BMjA0NjA4NjE2Nl5BMl5BanBnXkFtZTgwNzIxNTY2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.1,"204,119",tt0810819,movie,N/A,"$11,114,018",N/A,N/A,
True,,F is for Family,F Is for Family,2015–2021,TV-MA,18 Dec 2015,30 min,"Animation, Comedy, Drama",N/A,"Bill Burr, Michael Price","Bill Burr, Laura Dern, Justin Long","Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",English,"France, Canada, United States",Nominated for 2 Primetime Emmys. 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1YTZiMTItOGM1NC00ZTAzLTk2MTgtMmVmYjQ5NWRhNDk0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"43,465",tt4326894,series,,,,,5
True,,Master of None,Master of None,2015–2021,TV-MA,06 Nov 2015,1 min,"Comedy, Drama",N/A,"Aziz Ansari, Alan Yang","Aziz Ansari, Eric Wareheim, Lena Waithe","The personal and professional life of Dev, a 30-year-old actor in New York.",English,United States,Won 3 Primetime Emmys. 21 wins & 76 nominations total,https://m.media-amazon.com/images/M/MV5BMjI1MDgyMTMwMF5BMl5BanBnXkFtZTgwMDU5MzAxNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"77,949",tt4635276,series,,,,,3
True,,Hap and Leonard,Hap and Leonard,2016–2018,TV-MA,02 Mar 2016,21S min,"Crime, Drama, Mystery",N/A,"Nick Damici, Jim Mickle","James Purefoy, Michael Kenneth Williams, Tiffany Mack","Set in the late 1980s, Hap and Leonard is a darkly comic swamp noir of two best friends, one femme fatale, a crew of washed up revolutionaries, a pair of murderous psycho killers, some lost loot, and the fuzz.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BMzkyNDg0NDY4OV5BMl5BanBnXkFtZTgwOTU5Njg4NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"8,571",tt3729898,series,,,,,3
True,,Easy,Easy,2016–2019,TV-MA,22 Sep 2016,1 min,Comedy,N/A,Joe Swanberg,"Michael Chernus, Jane Adams, Elizabeth Reaser","Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjA3MTAyNzUyNF5BMl5BanBnXkFtZTgwNDk4NzgwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"15,835",tt5562056,series,,,,,3
True,,Occupied,Occupied,2011,Not Rated,N/A,88 min,Thriller,Mollie Binkley,Mollie Binkley,"Liza Binkley, Liza Bock, Lucy Bock","A psychological thriller isolated in the redwoods above Silicon Valley. When free spirit Sarah, 21, goes to babysit her young cousin, it becomes apparent that the dangers that lurk outside the cabin pale in comparison to the peril...",English,"United States, Canada, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMTQ3NjkzNjQyMV5BMl5BanBnXkFtZTgwMTQ4NTA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,153,tt1924334,movie,N/A,N/A,N/A,N/A,
True,,Under the Shadow,Under the Shadow,2016,PG-13,07 Oct 2016,84 min,"Drama, Fantasy, Horror",Babak Anvari,Babak Anvari,"Bobby Naderi, Narges Rashidi, Mia Sinclair Jenness","As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home.",Persian,"United Kingdom, Jordan, Qatar, Iran",Won 1 BAFTA Award21 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMjIwMjQwMDU2OV5BMl5BanBnXkFtZTgwNzMwMDg2OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,6.8,"31,545",tt4273292,movie,N/A,"$31,900",N/A,N/A,
True,,3%,Toy Story 3,2010,G,18 Jun 2010,103 min,"Animation, Adventure, Comedy",Lee Unkrich,"John Lasseter, Andrew Stanton, Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","English, Spanish","United States, Australia",Won 2 Oscars. 63 wins & 96 nominations total,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92,8.3,"946,047",tt0435761,movie,N/A,"$415,004,880",N/A,N/A,
True,,The Ranch,The Ranch,2016–2020,TV-MA,01 Apr 2016,30 min,"Comedy, Western",N/A,"Jim Patterson, Don Reo","Ashton Kutcher, Sam Elliott, Grady Lee Richmond",The son of a Colorado rancher returns home from a semi-pro football career to run the family business.,English,United States,Won 3 Primetime Emmys. 3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTYxOTU5ODE0OV5BMl5BanBnXkFtZTgwNzM0MzQ1MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"44,466",tt4998212,series,,,,,4
True,,The DUFF,The DUFF,2015,PG-13,20 Feb 2015,101 min,"Comedy, Romance",Ari Sandel,"Josh A. Cagan, Kody Keplinger","Mae Whitman, Bella Thorne, Robbie Amell","A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.","English, Spanish",United States,1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTc3OTg3MDUwN15BMl5BanBnXkFtZTgwMTAwMTkxNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.4,"105,568",tt1666801,movie,N/A,"$34,030,343",N/A,N/A,
True,,Bordertown,Bordertown,2016–2020,TV-MA,31 Mar 2017,2 min,"Crime, Drama, Mystery",N/A,Miikko Oikkonen,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo","Quirky police detective, in Finland, delves into his memory palace to solve despicable crimes all the while trying to keep his family together. If Sherlock was based in Finland this would be it.","Finnish, Russian, English","Finland, France",3 wins total,https://m.media-amazon.com/images/M/MV5BNjU2NzM3YjEtYTg2MC00NDMzLWFiODItNWEwNDZjNTRlMzMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"12,695",tt4937942,series,,,,,3
True,,Unfriended,Unfriended,2014,R,17 Apr 2015,83 min,"Horror, Mystery, Thriller",Levan Gabriadze,Nelson Greaves,"Heather Sossaman, Matthew Bohrer, Courtney Halverson","A group of online chatroom friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.",English,"Russia, United States",3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMWEzOGU0OTktODU2My00YmYxLTliYjItOTkzMWRhMjMyZGNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,5.6,"85,441",tt3713166,movie,N/A,"$32,482,090",N/A,N/A,
True,,Closet Monster,Closet Monster,2015,Not Rated,27 May 2016,90 min,"Drama, Fantasy, Mystery",Stephen Dunn,"Stephen Dunn, Don McKellar","Aaron Abrams, Jack Fulton, Joanne Kelly",A creative and driven teenager is desperate to escape his hometown and the haunting memories of his turbulent childhood.,English,Canada,10 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTg5MTM3ODMxOF5BMl5BanBnXkFtZTgwNzg3NzAyOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.0,"9,367",tt3638396,movie,N/A,"$42,166",N/A,N/A,
True,,Self/less,Self/less,2015,PG-13,10 Jul 2015,117 min,"Action, Mystery, Sci-Fi",Tarsem Singh,"Àlex Pastor, David Pastor","Ryan Reynolds, Natalie Martinez, Matthew Goode","A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU0MTQzNzAxMl5BMl5BanBnXkFtZTgwNjg4MjcxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,6.5,"106,052",tt2140379,movie,N/A,"$12,279,691",N/A,N/A,
True,,Making a Murderer,Making a Murderer,2015–2018,TV-14,18 Dec 2015,60 min,"Documentary, Crime",N/A,N/A,"Steven Avery, Dolores Avery, Laura Nirider","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",English,United States,Won 4 Primetime Emmys. 15 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4Mjc1NjE4Ml5BMl5BanBnXkFtZTgwMjk2NjA1NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"105,113",tt5189670,series,,,,,2
True,,The Fundamentals of Caring,The Fundamentals of Caring,2016,TV-MA,24 Jun 2016,97 min,"Comedy, Drama",Rob Burnett,"Rob Burnett, Jonathan Evison","Craig Roberts, Paul Rudd, Selena Gomez",A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BMTA1Mjc4ODI0NzReQTJeQWpwZ15BbWU4MDQ3MzAwMjkx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.3,"81,560",tt2452386,movie,N/A,N/A,N/A,N/A,
True,,"Hello, My Name Is Doris","Hello, My Name Is Doris",2015,R,01 Apr 2016,90 min,"Comedy, Drama, Romance",Michael Showalter,"Laura Terruso, Michael Showalter","Sally Field, Max Greenfield, Tyne Daly",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,English,United States,3 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNDYwMmEwNmYtZGQwYS00ODhjLTlmMmQtM2M3NTFmODQyOTAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.6,"22,780",tt3766394,movie,N/A,"$14,444,999",N/A,N/A,
True,,Spectral,Spectral,2016,PG-13,09 Dec 2016,107 min,"Action, Adventure, Sci-Fi",Nic Mathieu,"Ian Fried, Nic Mathieu, George Nolfi","James Badge Dale, Emily Mortimer, Bruce Greenwood",A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,"English, Russian, Romanian, Slovenian","United States, Hungary",N/A,https://m.media-amazon.com/images/M/MV5BY2NjOWY0MGItYWJhMC00M2E5LWJkZmEtNzJkMDAwZmQ0MDU5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,6.3,"68,186",tt2106651,movie,N/A,N/A,N/A,N/A,
True,,La Casa,La casa,2024,N/A,01 May 2024,83 min,"Biography, Comedy, Drama",Álex Montoya,"Joana M. Ortueta, Álex Montoya, Paco Roca","David Verdaguer, Luis Callejo, Óscar de la Fuente","After the death of their father Antonio, his three grown children and their families gather at his modest vacation home to prepare it for sale. During their short stay, long-buried memories and secrets rise to the surface.",Spanish,Spain,9 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BODZlYzhhMmItYTdkOS00OGZjLWFiYzYtMGFhZTRjOWRiNzMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.9,939,tt8038682,movie,N/A,N/A,N/A,N/A,
True,,Other People,Other People,2016,Unrated,09 Sep 2016,97 min,"Comedy, Drama",Chris Kelly,Chris Kelly,"Jesse Plemons, Molly Shannon, Bradley Whitford","A struggling comedy writer, fresh off a breakup and in the midst of the worst year of his life, returns to Sacramento to care for his dying mother.",English,United States,3 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTk2NzUzNTgyNl5BMl5BanBnXkFtZTgwNjkzODM2OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.8,"12,763",tt4158876,movie,N/A,"$91,441",N/A,N/A,
True,,Circle,Circle,2015,Not Rated,16 Oct 2015,87 min,"Drama, Horror, Mystery","Aaron Hann, Mario Miscione","Aaron Hann, Mario Miscione","Allegra Masters, Aimee McKay, Ashley Key","Held captive and faced with their imminent executions, fifty strangers are forced to choose the one person among them who deserves to live.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTg0Mjg0MjUwOF5BMl5BanBnXkFtZTgwNjk0NzQ4NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,6.0,"67,831",tt3118452,movie,N/A,N/A,N/A,N/A,
True,,Fuller House,Fuller House,2016–2020,TV-G,26 Feb 2016,1 min,"Comedy, Drama, Family",N/A,Jeff Franklin,"Candace Cameron Bure, Jodie Sweetin, Dashiell Messitt","In a continuation of Full House (1987), D.J. Fuller is a recently-widowed mother of three young sons. Her sister Stephanie, her best friend Kimmy, and Kimmy's teen daughter all move in to help raise her sons. The house is now a lo...",English,United States,Nominated for 1 Primetime Emmy. 9 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMjAxMzU5MzA0MF5BMl5BanBnXkFtZTgwODgyOTg1MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"30,149",tt3986586,series,,,,,5
True,,Secret City,Secret City,2016–2019,TV-MA,26 Jun 2018,2 min,"Mystery, Thriller",N/A,N/A,"Anna Torv, Marcus Graham, Justin Smith","Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her...","English, Mandarin",Australia,4 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BN2Q0OTEyM2ItNjc2NS00NjFhLWFiNWYtZDhlMzY0YjFkMmVhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"10,091",tt4976512,series,,,,,2
