,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,original_title
186,Children of Shatila,1998,,01 Sep 1998,50 min,"Documentary, History",Mai Masri,,,"Farah and Issa, two streetwise children living in Beirut's Palestinian Shatila refugee camp, use their imaginations and creativity to come to terms with the realities of growing up in a refugee camp that has survived massacre, sie...",English,Lebanon,,https://m.media-amazon.com/images/M/MV5BM2I4OWY0MzItMGQzZi00ZTA5LWI4ZmItNTFlZjRkM2E3MmJmXkEyXkFqcGdeQXVyMTY4MjUxMzgz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,169,tt0243174,movie,,,,,True,,Children of Shatila
187,Bill Hicks: Relentless,1992,Not Rated,,61 min,"Documentary, Comedy",Chris Bould,Bill Hicks,Bill Hicks,"Bill Hicks tells us how he feels about non-smokers, blow-jobs, religion, war and peace, drugs and music.",English,UK,,https://m.media-amazon.com/images/M/MV5BMjAwNDYyMjg1MV5BMl5BanBnXkFtZTcwNjEwMjEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",,8.6,"2,393",tt0148668,movie,,,,,True,,Bill Hicks: Relentless
188,Tim Allen Rewires America,1991,Not Rated,07 Dec 1991,30 min,"Documentary, Comedy",Ellen Brown,Tim Allen,Tim Allen,"In his second Showtime stand-up comedy special taped at The Power Center for the Performing Arts in Ann Arbor, Michigan, Tim Allen proudly grunts his way through a discussion of ""men stuff.""",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYzJhOTc0OWQtYWUzMC00ZjBiLTg1MTctZTc4ZDdhNjllYTJmXkEyXkFqcGc@._V1_SX300.jpg,[],,,219,tt0294967,movie,,,,,True,,Tim Allen Rewires America
189,West Beirut,1998,PG-13,30 Oct 1998,105 min,"Comedy, Drama, Romance",Ziad Doueiri,Ziad Doueiri,"Rami Doueiri, Naamar Sahli, Mohamad Chamas","In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascin...","Arabic, French","France, Norway, Lebanon, Belgium",8 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNzE0NzdkMmUtNTJlOC00ZGEyLTg1MDctZjdhNDQ4MTc5YzkyXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",,7.6,"4,739",tt0157183,movie,,,,,True,,West Beirut
190,Govindha Govindha,1994,,21 Jan 1994,145 min,"Action, Crime, Drama",Ram Gopal Varma,"Jandhyala, Ganapathi Rao Kommanapalli, Ram Gopal Varma","Nagarjuna Akkineni, Sridevi, Kota Srinivasa Rao","A Tantric believes that by donating a virgin woman's head to gods crown, would bring down the universe to his feet. How the hero and heroine gets entangled in the underworld nexus, while rescuing the robbery, forms the crux of the...",Telugu,India,,https://m.media-amazon.com/images/M/MV5BMTQ1NTkyM2YtMGEwMC00NzVhLWFjMzUtOTk0MjViMTY0YTFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,415,tt0187096,movie,,,,,True,,Govindha Govindha
191,Out of Life,1991,,15 May 1991,97 min,"Crime, Drama, War",Maroun Bagdadi,"Roger Auque, Maroun Bagdadi, Didier Decoin","Hippolyte Girardot, Rafik Ali Ahmad, Hussein Sbeity",A French photograher is kidnapped and held hostage in a war-torn Beirut. Slowly but surely his integrity and self-respect is broken.,"French, Arabic, English","France, Belgium, Italy",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTg3NjcxNDA3Ml5BMl5BanBnXkFtZTcwNTgxNzYxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,515,tt0102058,movie,,,,,True,,Out of Life
192,Gumrah,1993,Not Rated,03 Aug 1993,149 min,"Action, Crime, Drama",Mahesh Bhatt,"Robin Bhatt, Sujit Sen","Sanjay Dutt, Sridevi, Anupam Kher","Roshni Chadha, a singer in Bombay, is imprisoned in Hong Kong facing death sentence. Her troubled past involving unknown father's abandonment drives her journey to unravel truth and escape this predicament.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BZjc0OGMzZDEtZDhlMi00ODgyLTgwZDAtNTgyZDEzN2VlYTZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,"1,036",tt0107060,movie,,,,,True,,Gumrah
193,Sinbad: Afros and Bellbottoms,1993,TV-PG,17 Apr 1993,60 min,"Documentary, Comedy",Debbie Allen,Sinbad,"Sinbad, Donna Atkins, A.J. Jamal","In his second HBO comedy special, stand-up comedian Sinbad takes a nostalgic trip to the 1970s and jokes about the black culture from that decade, and pays homage to the Blaxploitation films and black family life during that era.",English,United States,,https://m.media-amazon.com/images/M/MV5BYjNiMzg0YTAtNzVlNC00NGE5LTlkZmMtNWI3NWE4ZmFlZmU0XkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,221,tt0938331,movie,03 Nov 1993,,,,True,,Sinbad: Afros and Bellbottoms
194,Fiza,2000,Not Rated,08 Sep 2000,170 min,"Crime, Drama, Romance",Khalid Mohamed,"Khalid Mohamed, Javed Siddiqui","Karisma Kapoor, Hrithik Roshan, Jaya Bachchan",In 1993 Fiza's brother Aman disappears during the riots in Mumbai. In 1999 Fiza is tired of waiting and goes looking for him.,"Hindi, Urdu",India,12 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BNDAyMWJkYWMtYjM0MS00YTM2LWFjNDMtODk1Yzg1MDk4MjYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",,6.0,"4,541",tt0248012,movie,,"$596,591",,,True,,Fiza
195,Monty Python: Before the Flying Circus,2008,Not Rated,,55 min,Documentary,Will Yapp,,"Robert Bathurst, Eric Idle, John Cleese","The pre-Monty Python years of the six members of the group. Covers their school and university days, their first individual forays into comedy, how the parts slowly came together and Monty Python's eventual formation.",English,United Kingdom,,https://m.media-amazon.com/images/M/MV5BMDM5MjA3YzEtOTE0ZS00NzVlLWE5NWEtZjdlMGUzNTg0NDVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,218,tt9230920,movie,,,,,True,,Monty Python: Before the Flying Circus
196,The Other,1972,PG,26 May 1972,108 min,"Drama, Horror, Mystery",Robert Mulligan,Tom Tryon,"Uta Hagen, Diana Muldaur, Chris Udvarnoky","A series of gruesome accidents plague a small American farming community in the summer of 1935, encircling two identical twin brothers and their family.","Russian, English",United States,1 win total,https://m.media-amazon.com/images/M/MV5BOTY3YjQwMjItZDZlMi00Y2M2LTllNDctM2Q0NDQ3N2ZjZWY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65.0,6.8,"7,543",tt0069050,movie,,"$475,611",,,True,,The Other
197,Yodha,2024,Not Rated,15 Mar 2024,130 min,"Action, Drama, Thriller","Sagar Ambre, Pushkar Ojha",Sagar Ambre,"Sidharth Malhotra, Raashi Khanna, Disha Patani","After terrorists hijack a passenger plane, an off-duty soldier aboard devises a strategy to defeat the hijackers and ensure the passengers' survival when the engine fails.",Hindi,"India, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BZjAyYjZmMjQtNGZlNi00ZGQ0LTkxNTUtNWQ2YzA3MWJjYjc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",,5.7,"8,533",tt16139258,movie,,,,,True,,Yodha
198,The Emigrant,2012,,,47 min,"Drama, Musical",Michael Edmonds,"Michael Edmonds, Lenka Fucikova","Ariela Bat-Sheva, Natasha Braxton, Brieanna Brock",A girl from Russia comes to America and becomes a dancer. She gets slowly corrupted.,English,United States,,https://m.media-amazon.com/images/M/MV5BNTQwY2VmNTgtNjVkMS00ZjRkLThmNDMtZDVjYTA3MDc0NTM3XkEyXkFqcGdeQXVyMTA4MzY1OTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",,8.3,14,tt2208772,movie,,,,,True,,The Emigrant
199,Hello Brother,1999,,10 Sep 1999,139 min,"Action, Comedy, Fantasy",Sohail Khan,Sohail Khan,"Salman Khan, Rani Mukerji, Arbaaz Khan",A police officer receives a heart transplant from a murdered man whose ghost then follows him around insisting that he solve and avenge his murder.,Hindi,India,,https://m.media-amazon.com/images/M/MV5BNzZiZjZhY2QtMzFjMi00YjI2LTg2MDgtYmE2Mzk4Y2U5NDY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",,4.7,"4,803",tt0233856,movie,,"$245,034",,,True,,Hello Brother
200,Dushmani,2002,,01 Jan 2002,,Action,Imran Khalid,Miraq Mirza,"Sonia Agarwal, Ishrat Ali, Raj Babbar",,Hindi,India,,https://m.media-amazon.com/images/M/MV5BMjllZGY0ZWUtYjBhMy00Mjk4LWFhZWQtYjU2ZjhjNDE4MDVhXkEyXkFqcGdeQXVyMjkwMzIxNTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",,4.2,29,tt2009466,movie,,,,,True,,Dushmani
201,One Last Shot,1998,TV-MA,30 Oct 2017,30 min,"Short, Comedy, Drama",Mike Clattenburg,"Mike Clattenburg, John Paul Tremblay, Robb Wells","Robb Wells, John Paul Tremblay, John Dunsworth","Two best friends, Rob and GW, spend a night out drinking before Rob moves away to start a new business.",English,Canada,,https://m.media-amazon.com/images/M/MV5BY2Y2YTc2OTEtOWU5YS00NzEzLThjMTEtNzNkZGI2ZWQ2ZWQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,707,tt0380601,movie,,,,,True,,One Last Shot
202,Nightmare in Columbia County,1991,Not Rated,10 Dec 1991,100 min,"Crime, Drama, Thriller",Roger Young,John Bensink,"William Devane, Jeri Ryan, Michele Abrams",The recounting of a terrible crime that wracked a family and galvanized police in South Carolina in the 1980's.,English,United States,,https://m.media-amazon.com/images/M/MV5BYjdiYmZlN2ItZTZlNC00YmEwLWExYWYtNDE3YjJlNDA2MDE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",,5.7,411,tt0102537,movie,,,,,True,,Nightmare in Columbia County
203,Shikari,2016,,07 Jul 2016,145 min,"Action, Crime, Drama","Joydip Mukherjee, Zakir Hossain, Zakir Hossain Simanto","Pele Bhattacharya, Joydeep Chakraborty","Shakib Khan, Srabanti Chatterjee, Rahul Dev","A disguised professional assassin with mysterious past, tasked with assassinating a top government official.",Bengali,"Bangladesh, India",,https://m.media-amazon.com/images/M/MV5BODI1NjNlMzEtNjkyOC00NzRkLThlMWMtYWZkNDI5MjZkNmU4L2ltYWdlXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,6.9,"2,361",tt5830022,movie,,,,,True,,Shikari
204,Breaking Bad,2008–2013,TV-MA,20 Jan 2008,49 min,"Crime, Drama, Thriller",,Vince Gilligan,"Bryan Cranston, Aaron Paul, Anna Gunn",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,"English, Spanish",United States,Won 16 Primetime Emmys. 169 wins & 269 nominations total,https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",,9.5,"2,386,007",tt0903747,series,,,,,True,5.0,Breaking Bad
205,Top Gear,2002–2022,TV-PG,20 Oct 2002,1 min,"Adventure, Comedy, Sport",,,"Jeremy Clarkson, Richard Hammond, James May","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","English, Italian, German, Spanish, French",United Kingdom,Nominated for 7 BAFTA 12 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BNTJlYmZjNDAtYjA2YS00YjAyLWI4NmYtYjFhNmM5MDEyMWJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",,8.7,"133,475",tt1628033,series,,,,,True,33.0,Top Gear
206,The Walking Dead,2010–2022,TV-MA,31 Oct 2010,44 min,"Drama, Horror, Thriller",,Frank Darabont,"Andrew Lincoln, Norman Reedus, Melissa McBride",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,English,United States,Won 2 Primetime Emmys. 85 wins & 237 nominations total,https://m.media-amazon.com/images/M/MV5BYWQwMGRhNGEtZTNhMy00MzVjLWJhMjItYjcwMDljMTkyNTg2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",,8.1,"1,158,427",tt1520211,series,,,,,True,11.0,The Walking Dead
207,Supernatural,2005–2020,TV-14,13 Sep 2005,44 min,"Drama, Fantasy, Horror",,Eric Kripke,"Jared Padalecki, Jensen Ackles, Jim Beaver","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",English,United States,Nominated for 3 Primetime Emmys. 37 wins & 126 nominations total,https://m.media-amazon.com/images/M/MV5BMDFmMGZmMGItNGRjNC00NjVjLWI5ODEtNzhjMTE5MmJhN2FkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",,8.4,"520,145",tt0460681,series,,,,,True,15.0,Supernatural
208,The Mist,2007,R,21 Nov 2007,126 min,"Horror, Sci-Fi, Thriller",Frank Darabont,"Frank Darabont, Stephen King","Thomas Jane, Marcia Gay Harden, Laurie Holden","After a massive thunderstorm, an eerie, unwavering fog descends upon a Maine community. Locals seek refuge in a grocery store from the monstrous creatures now roaming the countryside killing everyone they encounter.",English,United States,6 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTU2NjQyNDY1Ml5BMl5BanBnXkFtZTcwMTk1MDU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,7.1,"363,476",tt0884328,movie,,"$25,594,957",,,True,,The Mist
209,Mean Girls,2004,PG-13,30 Apr 2004,97 min,Comedy,Mark Waters,"Rosalind Wiseman, Tina Fey","Lindsay Lohan, Jonathan Bennett, Rachel McAdams","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","English, German, Vietnamese, Swahili","United States, Canada",7 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,7.1,"470,889",tt0377092,movie,,"$86,058,055",,,True,,Mean Girls
210,The Great British Baking Show,2010–,TV-PG,27 Dec 2014,1 min,"Game-Show, Reality-TV",,,"Paul Hollywood, Prue Leith, Noel Fielding",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,English,United Kingdom,Won 2 BAFTA 10 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BNTc3MzZkZTQtMWM3MC00MThmLTlmNjctOWEwY2NjMzM2NTllXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",,8.6,"14,389",tt1877368,series,,,,,True,15.0,The Great British Baking Show
211,30 Rock,2006–2013,TV-14,10 Sep 2006,22 min,Comedy,,Tina Fey,"Tina Fey, Alec Baldwin, Tracy Morgan","Liz Lemon, head writer of the sketch-comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star while trying to run a successful television show without losing her mind.","English, Irish Gaelic",United States,Won 16 Primetime Emmys. 101 wins & 368 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ4NDQ4OTUzOV5BMl5BanBnXkFtZTcwMjMzMTUyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",,8.3,"136,214",tt0496424,series,,,,,True,7.0,30 Rock
212,Borgen,2010–2022,TV-14,29 Oct 2011,58 min,Drama,,Adam Price,"Sidse Babett Knudsen, Birgitte Hjort Sørensen, Søren Malling","A political drama about a prime minister's rise to power, and how power changes a prime minister.",Danish,Denmark,Won 1 BAFTA Award9 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BYWMyY2Y3NTktMjU2NC00NGExLWFjMDEtMDA2MjRkMmQzN2Q0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,"31,660",tt1526318,series,,,,,True,4.0,Borgen
213,Community,2009–2015,TV-14,17 Sep 2009,22 min,Comedy,,Dan Harmon,"Joel McHale, Danny Pudi, Donald Glover",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,English,United States,Won 1 Primetime Emmy. 24 wins & 90 nominations total,https://m.media-amazon.com/images/M/MV5BOGIwYzNmYTktZWExZC00MzAyLTk4NTItODgwZmIyNWZhNDEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,"305,819",tt1439629,series,,,,,True,6.0,Community
214,Catch Me If You Can,2002,PG-13,25 Dec 2002,141 min,"Biography, Crime, Drama",Steven Spielberg,"Frank Abagnale Jr., Stan Redding, Jeff Nathanson","Leonardo DiCaprio, Tom Hanks, Christopher Walken","Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","English, French","United States, Canada",Nominated for 2 Oscars. 16 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,8.1,"1,185,162",tt0264464,movie,,"$164,615,351",,,True,,Catch Me If You Can
215,Grey's Anatomy,2005–,TV-14,27 Mar 2005,41 min,"Drama, Romance",,Shonda Rhimes,"Ellen Pompeo, Chandra Wilson, James Pickens Jr.",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,English,United States,Won 4 Primetime Emmys. 89 wins & 253 nominations total,https://m.media-amazon.com/images/M/MV5BYTVjNWVhYTctMGJkMS00NWFjLWE2N2QtNmQ1Y2FhZDFkNzUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"364,565",tt0413573,series,,,,,True,22.0,Grey's Anatomy
216,Arrested Development,2003–2019,TV-14,02 Nov 2003,22 min,Comedy,,Mitchell Hurwitz,"Jason Bateman, Michael Cera, Portia de Rossi","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",English,United States,Won 6 Primetime Emmys. 61 wins & 123 nominations total,https://m.media-amazon.com/images/M/MV5BOTk3N2M0MjktMDhkNi00ZGVhLTk4YTUtYjI5MDJmMWUzNTgwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",,8.6,"337,488",tt0367279,series,,,,,True,5.0,Arrested Development
217,Heartland,2007–,TV-PG,14 Oct 2007,45 min,"Drama, Family",,Murray Shostak,"Amber Marshall, Michelle Morgan, Shaun Johnston","A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",English,Canada,29 wins & 77 nominations total,https://m.media-amazon.com/images/M/MV5BNjdmZjlmNGMtYjE1MC00NGNlLWI1OTYtYTcyOTY2ZGNlZjRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",,8.4,"21,599",tt1094229,series,,,,,True,18.0,Heartland
218,The Staircase,2022,TV-MA,05 May 2022,,"Biography, Crime, Drama",,Antonio Campos,"Colin Firth, Toni Collette, Michael Stuhlbarg","Tells the story of Michael Peterson, a crime novelist accused of killing his wife Kathleen after she is found dead at the bottom of a staircase in their home, and the 16-year judicial battle that followed.","English, French, German",United States,Nominated for 2 Primetime Emmys. 1 win & 40 nominations total,https://m.media-amazon.com/images/M/MV5BMDA5MjYzNmQtMzYwMS00YTk0LTk1ZWItMDRjZjJlZDZjYWJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"35,869",tt11324406,series,,,,,True,1.0,The Staircase
219,Old School,2003,R,21 Feb 2003,88 min,Comedy,Todd Phillips,"Court Crandall, Todd Phillips, Scot Armstrong","Luke Wilson, Vince Vaughn, Will Ferrell",Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BZGZiNGEwNjQtNTMzOS00NDI3LWI2ZWQtMGQwMjEzNjExZjNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,7.0,"252,901",tt0302886,movie,,"$75,585,093",,,True,,Old School
220,NCIS,2003–,TV-14,23 Sep 2003,17S min,"Action, Crime, Drama",,"Donald P. Bellisario, Don McGill","Sean Murray, David McCallum, Mark Harmon","Follows the Major Case Response Team (MCRT) from the Naval Criminal Investigative Service (NCIS), as they get to the bottom of criminal cases connected to Navy and Marine Corps personnel.",English,United States,Nominated for 3 Primetime Emmys. 27 wins & 45 nominations total,https://m.media-amazon.com/images/M/MV5BZGExNmI3NDMtMjYxYS00Y2ZmLTlkNmItMGNkNTQ1MzA1ZGM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,"173,089",tt0364845,series,,,,,True,22.0,NCIS
221,Avatar: The Last Airbender,2005–2008,TV-Y7-FV,21 Feb 2005,23 min,"Animation, Action, Adventure",,"Michael Dante DiMartino, Bryan Konietzko","Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman","In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",English,"United States, South Korea",Won 1 Primetime Emmy. 9 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMDMwMThjYWYtY2Q2OS00OGM2LTlkODQtNDJlZTZmMjAyYmFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.3/10'}]",,9.3,"415,505",tt0417299,series,,,,,True,3.0,Avatar: The Last Airbender
222,Anchorman: The Legend of Ron Burgundy,2004,PG-13,09 Jul 2004,94 min,Comedy,Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, Christina Applegate, Steve Carell","In the 1970s, an anchorman's stint as San Diego's top-rated newsreader is challenged when an ambitious newswoman becomes his co-anchor.","English, French, Spanish",United States,1 win & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2MzYwMzk5Ml5BMl5BanBnXkFtZTcwOTI4NzUyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,7.1,"394,337",tt0357413,movie,,"$85,288,303",,,True,,Anchorman: The Legend of Ron Burgundy
223,Friday Night Lights,2006–2011,TV-14,03 Oct 2006,44 min,"Drama, Sport",,Peter Berg,"Kyle Chandler, Connie Britton, Zach Gilford","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",English,United States,Won 3 Primetime Emmys. 22 wins & 122 nominations total,https://m.media-amazon.com/images/M/MV5BNzMxNzQwODItNDFiYy00YjFhLWJjMzUtYjc0Nzk5ZTI4ODA1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",,8.7,"76,730",tt0758745,series,,,,,True,5.0,Friday Night Lights
224,The IT Crowd,2006–2013,TV-14,03 Feb 2006,1 min,Comedy,,,"Chris O'Dowd, Richard Ayoade, Katherine Parkinson","The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",English,United Kingdom,Won 3 BAFTA 9 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BNzkwNjJhZWYtZTRiNi00YWYzLTg3MzMtN2Y3OTllZmFmYTg0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,"172,259",tt0487831,series,,,,,True,5.0,The IT Crowd
225,Inception,2010,PG-13,16 Jul 2010,148 min,"Action, Adventure, Sci-Fi",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","English, Japanese, French","United States, United Kingdom",Won 4 Oscars. 159 wins & 220 nominations total,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,8.8,"2,731,250",tt1375666,movie,,"$292,587,330",,,True,,Inception
226,The Spectacular Spider-Man,2008–2009,TV-Y7,01 Mar 2008,1 min,"Animation, Action, Adventure",,"Victor Cook, Steve Ditko, Stan Lee","Josh Keaton, Lacey Chabert, Joshua LeBar","An animated television show that focuses on a sixteen-year-old Peter Parker, and the origins of Spider-Man.",English,"United States, South Korea",2 nominations total,https://m.media-amazon.com/images/M/MV5BMjFkMGZmZDUtOTg0My00NGY4LTkxZDYtOGFhODMxNzQ5OWUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",,8.4,"21,557",tt0976192,series,,,,,True,2.0,The Spectacular Spider-Man
